tconst,averageRating,numVotes
tt0069049,6.9,5021
tt0069204,6.1,13
tt0085953,6.3,264
tt0091490,5.9,29
tt0100275,6.6,121
tt0112502,4.2,33
tt0116991,7.4,35
tt0129960,7.2,6
tt0137204,8.6,264
tt0170651,7.5,6
tt0172112,7.6,41
tt0192528,3.8,76
tt0199217,4.2,70
tt0253093,6.6,8
tt0255841,7.4,23
tt0262759,7.0,6
tt0269235,7.9,21
tt0273024,6.2,32
tt0276568,7.4,5
tt0302617,8.1,28
tt0305113,4.1,10
tt0305295,6.1,15
tt0326716,6.1,299
tt0328810,7.9,62
tt0331314,5.0,320
tt0337981,6.7,63
tt0339736,5.5,2579
tt0345776,4.8,15
tt0347307,7.3,129
tt0360556,4.9,15328
tt0365545,6.4,6737
tt0385887,7.2,4621
tt0387927,5.8,83
tt0392988,7.8,16
tt0427543,6.5,293
tt0432010,7.1,48
tt0437086,7.4,171875
tt0441881,7.1,1989
tt0446792,8.1,14
tt0448115,7.1,191474
tt0451201,6.3,383
tt0451279,7.4,507364
tt0460890,6.3,9429
tt0489974,8.0,26337
tt0491175,5.7,34035
tt0491203,6.2,16203
tt0493405,6.0,38705
tt0498381,4.5,35247
tt0800325,7.0,31721
tt0810836,7.2,29
tt0825334,8.8,53
tt0835802,5.4,1017
tt0837563,5.8,61661
tt0846775,7.2,12
tt0850247,5.6,13
tt0858419,5.5,295
tt0859635,6.1,21499
tt0862930,6.9,339
tt0874268,7.4,43
tt0914376,7.4,3722
tt0937225,5.5,28
tt0972544,7.0,3548
tt0974015,6.4,345977
tt10001588,9.1,106
tt10001948,6.2,9
tt10002038,8.8,6
tt10002068,3.6,5
tt10002426,7.5,78
tt10002430,5.9,17
tt10002432,8.6,90
tt10002442,8.2,82
tt10002448,8.7,105
tt10002516,7.1,21
tt10002600,5.8,10
tt10002654,7.9,805
tt10002686,5.8,16
tt10003014,7.5,14
tt10003206,7.3,10
tt10003276,7.0,10
tt10003330,7.7,9
tt10003408,9.7,6
tt10003422,6.9,9
tt10003480,2.0,9
tt10003626,7.0,6
tt10003646,5.5,11
tt10003648,5.8,12
tt10003660,8.3,83
tt10003700,7.9,158
tt10003824,8.8,553
tt10003978,7.2,118
tt10004066,8.5,6
tt10004088,7.4,8
tt10004142,7.5,694
tt10004144,8.4,211
tt10004148,8.4,222
tt10004154,8.3,229
tt10004158,8.4,351
tt10004292,7.8,12
tt10004300,8.0,27
tt10004302,7.7,26
tt10004304,7.9,30
tt10004348,8.0,82
tt10004354,8.3,79
tt10004456,8.2,116
tt10004466,8.2,13
tt10004618,5.7,29
tt10004630,8.1,22
tt10004634,7.8,20
tt10004658,8.4,154
tt10004670,7.9,123
tt10004686,8.2,124
tt10004690,8.8,160
tt10004770,8.2,124
tt10004778,8.2,125
tt10004786,7.8,116
tt10004790,8.5,131
tt10004814,8.5,193
tt10004824,8.2,184
tt10004830,8.1,165
tt10004832,8.3,176
tt10004838,8.5,309
tt10004928,5.0,25
tt10004944,7.6,31
tt10004964,5.5,26
tt10004968,5.2,25
tt10004974,5.2,25
tt10004978,6.4,16
tt10004980,6.4,17
tt10004984,5.8,5
tt10004998,7.6,9
tt10005006,6.7,15
tt10005018,6.3,13
tt10005024,7.4,8
tt10005040,6.9,17
tt10005050,7.5,8
tt10005148,5.9,27
